City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
545,Kudahuvadhoo,2.6708,72.8944,81.95,72,79,13.13,MV,1666370927
546,Kurunegala,7.4863,80.3623,72.07,97,100,1.7,LK,1666370927
547,Verāval,20.9,70.3667,82.67,67,16,8.23,IN,1666370928
548,Xingyi,24.1877,102.817,59.49,89,98,2.82,CN,1666370929
549,Praia,14.9215,-23.5087,88.34,51,0,9.22,CV,1666370849
550,Fairbanks,64.8378,-147.7164,34.61,94,100,6.91,US,1666370841
551,Calituban,10.24,124.2919,80.69,76,75,4.61,PH,1666370929
552,Simav,39.0882,28.9777,47.34,42,0,6.42,TR,1666370930
553,Yarmouth,41.7057,-70.2286,64.96,53,0,5.75,US,1666370930
554,Menongue,-14.6585,17.691,80.94,27,92,5.17,AO,1666370930
555,Boshnyakovo,49.6333,142.1667,37.09,83,100,4.41,RU,1666370931
556,Wajir,1.7471,40.0573,87.85,33,53,7.29,KE,1666370931
557,Buriti Bravo,-5.8372,-43.8336,98.74,27,55,4.25,BR,1666370633
558,Iqaluit,63.7506,-68.5145,37.13,86,75,20.71,CA,1666370754
559,Wajima,37.4,136.9,67.28,75,85,19.93,JP,1666370932
560,Muroto-misakicho,33.2833,134.15,68.85,64,99,4.47,JP,1666370933
561,San Patricio,28.017,-97.5169,80.49,43,0,11.63,US,1666370775
562,Labuhan,-6.8844,112.2051,79.32,84,100,7.78,ID,1666370684
563,Masaka,-0.3338,31.7341,66.92,72,95,1.97,UG,1666370933
564,Grand Gaube,-20.0064,57.6608,73.8,75,6,5.99,MU,1666370934
565,Wanning,18.8003,110.3967,76.19,92,99,9.08,CN,1666370934
566,Markova,48.6758,24.4138,44.11,57,100,4.79,UA,1666370938
567,Staraya Poltavka,50.4772,46.4814,43.43,82,100,18.14,RU,1666370938
568,Puerto Colombia,10.9878,-74.9547,89.69,70,55,1.34,CO,1666370940
569,Verkhniy Fiagdon,42.8333,44.3053,38.07,92,93,1.57,RU,1666370940
570,Synya,65.3718,58.0387,32.61,98,100,9.95,RU,1666370941
571,Pangnirtung,66.1451,-65.7125,32.0,86,100,5.75,CA,1666370693
572,Iguape,-24.7081,-47.5553,83.98,59,88,7.45,BR,1666370941
